Party_key,profession,country,age,employment_status,monthly_income,Rent,Water,Electricity,Mobile bill,miscellaneous_expense,payment_history,credit_score,currency,sbs,Benefit_received,Monthly_expense,Category,FamilyStatus,Dependents,AssetOwnership,phone,name,role
CR_DE_001,Carpenter,GERMANY,56,Self-employed,1547,309.40000000000003,24.752000000000002,30.940000000000005,9.282,69.615,,302,EUR,No,0,443.98900000000003,CRAFTSMEN,Single,5,Vehicle,+49 1520 324 7872,Robert,investee
CR_DE_002,Plumber,GERMANY,38,Self-employed,1187,237.4,18.992,23.740000000000002,7.122,53.415,,301,EUR,Yes,119,340.66900000000004,CRAFTSMEN,Married,4,Tools,+49 1520 324 7873,Muller,investee
CR_DE_003,Electrician,GERMANY,45,Self-employed,1027,205.4,16.432000000000002,20.540000000000003,6.162,46.214999999999996,,300,EUR,No,0,294.74899999999997,CRAFTSMEN,Single,3,,+49 1520 324 7874,Gerald,investee
CR_DE_004,Carpenter,GERMANY,50,Self-employed,2084,416.8,33.344,41.68000000000001,12.504,93.78,,302,EUR,No,0,598.1080000000001,CRAFTSMEN,Married,4,Tools,+49 1520 324 7875,Leonid,investee
CR_DE_005,Plumber,GERMANY,52,Self-employed,1472,294.40000000000003,23.552000000000003,29.440000000000005,8.832,66.24,,326,EUR,Yes,147,422.46400000000006,CRAFTSMEN,Widowed,0,,+49 1520 311 7876,Lukas,investee
CR_DE_006,Road Worker,GERMANY,56,Self-employed,1230,246.0,19.68,24.6,7.38,55.35,,326,EUR,No,0,353.01000000000005,CRAFTSMEN,Single,0,,+49 1521 324 7877,Finn Helberg,investee
CR_DE_007,Road Worker,GERMANY,57,Self-employed,1720,344.0,27.52,34.4,10.32,77.39999999999999,,327,EUR,No,0,493.63999999999993,CRAFTSMEN,Widowed,3,"Tools,Vehicle",+49 1520 224 5868,Gereta Steinmetz,investee
CR_DE_008,Carpenter,GERMANY,45,Self-employed,1164,232.8,18.624000000000002,23.28,6.984,52.379999999999995,,351,EUR,No,0,334.068,CRAFTSMEN,Single,2,Vehicle,+49 1520 324 7879,Nea Krger,investee
CR_DE_009,Electrician,GERMANY,50,Self-employed,1463,292.6,23.408,29.260000000000005,8.778,65.835,,326,EUR,Yes,146,419.88100000000003,CRAFTSMEN,Single,3,"Tools,Vehicle",+49 1520 324 7880,Mathilde Sommer,investee
CR_DE_010,Electrician,GERMANY,56,Self-employed,1508,301.6,24.128000000000004,30.160000000000004,9.048,67.86,,327,EUR,Yes,151,432.79600000000005,CRAFTSMEN,Single,1,,+49 1520 324 7881,Luise Hartmann,investee
CR_DE_011,Carpenter,GERMANY,57,Self-employed,1461,292.2,23.376,29.22,8.766,65.745,,351,EUR,Yes,146,419.30699999999996,CRAFTSMEN,Single,1,Vehicle,+49 1520 324 7882,Elisabeth Gruber,investee
CR_DE_012,Road Worker,GERMANY,45,Self-employed,1656,331.20000000000005,26.496000000000006,33.120000000000005,9.936000000000002,74.52,,302,EUR,Yes,166,475.272,CRAFTSMEN,Single,4,Tools,+49 1520 324 7883,Klara,investee
CR_DE_013,Painter,GERMANY,39,Self-employed,1878,375.6,30.048000000000002,37.56,11.268,84.50999999999999,,352,EUR,Yes,188,538.986,CRAFTSMEN,Married,0,Tools,+49 1520 324 7884,Jasmine,investee
