Party_key,profession,country,age,employment_status,monthly_income,Rent,Water,Electricity,Mobile bill,miscellaneous_expense,payment_history,credit_score,currency,sbs,Benefit_received,Monthly_expense,Category,phone,name,role
SP_TZ_001,SingleParent,Tanzania,56,Informal,80.0,20.0,15.0,30.87,20.67,12.8,,300,TZS,No,0,99.34,SingleParent,+255 27 250 5980,Latifa,investee
SP_TZ_002,SingleParent,Tanzania,38,Informal,40.14,40.0,25.14,24.78,28.8,14.6,,310,TZS,No,0,133.32,SingleParent,+255 27 234 5760,Hamida,investee
SP_TZ_003,SingleParent,Tanzania,45,Informal,158.78,30.0,29.0,27.46,19.56,13.87,,375,TZS,Yes,16,119.89000000000001,SingleParent,+255 27 220 3910,Lurdi,investee
SP_TZ_004,SingleParent,Tanzania,50,Informal,176.22,35.46,38.56,34.89,23.45,15.0,,300,TZS,Yes,18,147.36,SingleParent,+255 22 253 5781,Narry,investee
SP_TZ_005,SingleParent,Tanzania,52,Informal,317.47,39.19,8.172,27.9,19.54,18.0,,300,TZS,No,0,112.80199999999999,SingleParent,+255 23 252 5487,Tanya,investee
FR_IND_001,Livestock Farmer,INDIA,56,Self-employed,3000.0,840.0000000000001,67.20000000000002,84.00000000000001,25.200000000000003,135.0,,317,INR,No,0,1151.4,FARMER,+91 95 3810 1257,Ramesh,investee
FR_IND_002,Mixed Farmer,INDIA,57,Self-employed,2700.0,756.0000000000001,60.48000000000001,75.60000000000001,22.680000000000003,121.5,,345,INR,Yes,270,1036.2600000000002,FARMER,+91 83 5610 1254,Aditi,investee
FR_IND_003,Mixed Farmer,INDIA,45,Self-employed,3800.0,1064.0,85.12,106.4,31.919999999999998,171.0,,335,INR,Yes,380,1458.44,FARMER,+91 92 4811 1221,Mohammed,investee
FR_IND_004,Crop Farmer,INDIA,50,Self-employed,2700.0,756.0000000000001,60.48000000000001,75.60000000000001,22.680000000000003,121.5,,375,INR,No,0,1036.2600000000002,FARMER,+91 99 4810 1253,Sandeep,investee
FR_IND_005,Mixed Farmer,INDIA,56,Self-employed,3145.0,880.6000000000001,70.44800000000001,88.06000000000002,26.418000000000003,141.525,,366,INR,No,0,1207.0510000000002,FARMER,+91 98 3850 1250,Mayank,investee
FR_IND_006,Livestock Farmer,INDIA,57,Self-employed,2800.0,784.0000000000001,62.72000000000001,78.40000000000002,23.520000000000003,126.0,,346,INR,No,0,1074.64,FARMER,+91 95 3710 0251,Rahul,investee
FR_IND_007,Crop Farmer,INDIA,45,Self-employed,2400.0,672.0000000000001,53.76000000000001,67.20000000000002,20.160000000000004,108.0,,328,INR,Yes,240,921.1200000000001,FARMER,+91 94 3811 1247,Priya,investee
CR_EL_DE_001,Carpenter,GERMANY,56,Self-employed,1547.0,309.40000000000003,24.752000000000002,30.940000000000005,9.282,69.615,,302,EUR,No,0,443.98900000000003,CRAFTSMEN,+49 1520 324 7872,Robert,investee
CR_EL_DE_002,Plumber,GERMANY,38,Self-employed,1187.0,237.4,18.992,23.740000000000002,7.122,53.415,,301,EUR,Yes,119,340.66900000000004,CRAFTSMEN,+49 1520 324 7873,Muller,investee
CR_EL_DE_003,Electrician,GERMANY,45,Self-employed,1027.0,205.4,16.432000000000002,20.540000000000003,6.162,46.214999999999996,,300,EUR,No,0,294.74899999999997,CRAFTSMEN,+49 1520 324 7874,Gerald,investee
CR_EL_DE_004,Carpenter,GERMANY,50,Self-employed,2084.0,416.8,33.344,41.68000000000001,12.504,93.78,,302,EUR,No,0,598.1080000000001,CRAFTSMEN,+49 1520 324 7875,Leonid,investee
CR_EL_DE_005,Plumber,GERMANY,52,Self-employed,1472.0,294.40000000000003,23.552000000000003,29.440000000000005,8.832,66.24,,326,EUR,Yes,147,422.46400000000006,CRAFTSMEN,+49 1520 311 7876,Lukas,investee
CR_EL_DE_006,Road Worker,GERMANY,56,Self-employed,1230.0,246.0,19.68,24.6,7.38,55.35,,326,EUR,No,0,353.01000000000005,CRAFTSMEN,+49 1521 324 7877,Finn Helberg,investee
CR_EL_DE_007,Road Worker,GERMANY,57,Self-employed,1720.0,344.0,27.52,34.4,10.32,77.39999999999999,,327,EUR,No,0,493.63999999999993,CRAFTSMEN,+49 1520 224 5868,Gereta Steinmetz,investee
CR_EL_DE_008,Carpenter,GERMANY,45,Self-employed,1164.0,232.8,18.624000000000002,23.28,6.984,52.379999999999995,,351,EUR,No,0,334.068,CRAFTSMEN,+49 1520 324 7879,Nea Krger,investee
CR_EL_DE_009,Electrician,GERMANY,50,Self-employed,1463.0,292.6,23.408,29.260000000000005,8.778,65.835,,326,EUR,Yes,146,419.88100000000003,CRAFTSMEN,+49 1520 324 7880,Mathilde Sommer,investee
CR_EL_DE_010,Electrician,GERMANY,56,Self-employed,1508.0,301.6,24.128000000000004,30.160000000000004,9.048,67.86,,327,EUR,,151,432.79600000000005,CRAFTSMEN,+49 1520 324 7881,Luise Hartmann,investee
CR_EL_DE_011,Carpenter,GERMANY,57,Self-employed,1461.0,292.2,23.376,29.22,8.766,65.745,,351,EUR,,146,419.30699999999996,CRAFTSMEN,+49 1520 324 7882,Elisabeth Gruber,investee
CR_EL_DE_012,Road Worker,GERMANY,45,Self-employed,1656.0,331.20000000000005,26.496000000000006,33.120000000000005,9.936000000000002,74.52,,302,EUR,,166,475.272,CRAFTSMEN,+49 1520 324 7883,Klara,investee
CR_EL_DE_013,Painter,GERMANY,39,Self-employed,1878.0,375.6,30.048000000000002,37.56,11.268,84.50999999999999,,352,EUR,,188,538.986,CRAFTSMEN,+49 1520 324 7884,Jasmine,investee
